Title,Year,Sample Name,Paper Type(1 for material papers 0 for fuel cell papers),Pt Content wt/%,Zn Content wt/%,Mn Cotent wt/%,Cu Cotent wt/%,Co Cotent wt/%,Fe Cotent wt/%(ICP for metal),Fe,N Content at/%,O Content at/%,S Content at/%,Pyridinic N+metal N Content at/%,Pyrrolic N Content at/%,Graphitic N Content at/%,Oxidized N Content at/%,sum,Pyridinic N+metal N Content ratio at/%,Pyrrolic N Content ratio at/%,Graphitic N Content ratio at/%,Oxidized N Content ratio at/%,Precursor Type(mg),FeC2O4¡¤2H2O,Fe(acac)3,Fe(NO3)3,Fe(NO3)3.9H2O,FeCl2,FeCl3,Fe(SCN)3,FeSO4.7H2O,Fe(Ac)2,Ferrocene,Ferrocene(diffusion),"Tris-1,10phenanthroline iron(II) perchlorate",Fe powder,FePc,PFeTTPP,FeTMPPCl,Fe¨Ccorrole ,Fe(acac)3,hemin,ZnO,CoTMPP,Co(NO3)2.6H2O,Co(Ac)2,CoCl2,VB12,Mn(Ac)2,H2PtCl6,TMPP,Zinc nitrate hexahydrate,ZnCl2,imidazole,2-methylimidazole,H3BTT.2HCl,purchased ZIF-8,furfuryl alcohol,mPDA,nicarbazin,EDA(ethylenediamine ),ammonium peroxidisulfate ,PANI(by aniline),PAN powder,triethylenetetramine,polyimide,poly(methyl methacrylate),Pyrrole(monomer),polyacrylonitrile-polymethacrylic acid copolymer ,MWCNT,CNF,PSS coated GO ,GO,Graphene nano-platelets (GNP) ,PEI,C3N4,melamine,cyanamide,dicyandiamide ,"1,10-phenanthroline",Vulcan XC-72R,acid-treated KJ600,KJ600,BP2000,EC300,ZnO,SBA-15,MMT,SiO2,NaCl,OMS,PTFE,Fe3O4 microspheres,ZIF-NC,CTAB,F127,PVP,NaOH,Tetraethyl orthosilicate ,PmPDA-KJ600,First Pyrolysis Temperature in amonia /¡æ,First Pyrolysis Time amonia/h,First Pyrolysis Temperature in inert atomosphere/¡æ,First Pyrolysis Time inert/h,First Pyrolysis Temperature in H2 atomosphere/¡æ,First Pyrolysis Time H2/h,Rising Rate ¡æ/min,Acid Wash (1 for yes 0 for no),Acid concentration (M),Acid wash temperature/¡æ,Acid wash time/h,Second Pyrolysis temperature inert/¡æ,Second Pyrolysis time inert,Second Pyrolysis temperature amonia/¡æ,Second Pyrolysis time amonia/h,Second Pyrolysis temperature H2/¡æ,Second Pyrolysis time H2/h,Raman ID/IG ratio ,BET Surface Area cm2/g,Micropore ratio,Mesopore ratio,Macropore ratio,Onset Potential in Acid Condition (vs. RHE),Half Wave Potential in Acid Condition (vs. RHE),Durability in O2 mV/10000Cycle,Durability in N2 mV/10000Cycle,I/C Ratio(ionomer/catalyst),Effective Area cm2,Cathodic Loading Amount mg cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,Membrane Thickness,Hot Press Temperature ¡æ,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,Spray(1 for yes 0 for no),Operating Temperature ¡æ,Flowing rate of H2 ml min-1 ,Flowing rate of O2 ml min-1 ,Back Pressure Mpa,Maximum Power Density mW cm-2 ,higher than 700,Current density at 0.6V mA/cm2,Current density at 0.8V mA/cm2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0
"A Comprehensive Investigation on Pyrolyzed Fe?N?C Composites
as Highly Efficient Electrocatalyst toward the Oxygen Reduction
Reaction of PEMFCs",2019,Fe/N/C,0,,,,,0,0.015,1.5,0.0155,,0,0.0102,0.0074,0,0.0009,0.0185,0.551351351,0.4,0,0.048648649,"1,10-phenanthroline/EC 600/Fe(Ac)2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,2,,,,,0,,,,,,,,,1.05,808,,,,0.9,0.79, ,,,5,4,0.2,0.467,Nafion 211,25,,,,100,1,80,300,400,0.15,540,0,750,130,0.92,0.81,0.79,0.725,0.7,0.69,0.625,0.605,0.595,0.55,0.51,0.495,0.455,0.405,0.3583,0.31739,0.28125,0.2491,0.2203,0.19436,0.17088,0.14952,0.13001,0.11211,0.09563,0.08042,0.06632,0.05323,0.04104
The role of transition metals in non-precious nitrogen-modified carbon-based electrocatalysts for oxygen reduction reaction,2012,FeeED/ PPyeCNF-10,1,0,0,0,0,0,0.018,1.8,0.02795,,0,0.01081665,0.0063167,0.01081665,0,0.02795,0.387,0.226,0.387,0,Ppy/ED/CNF/Fe(NO3)3.9H2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.86,0.61,,,,5,8,,,Nafion 212,50,,,,100,1,75,300,600,0.2026,360,0,90,0,0.72,0.59,0.54,0.49,0.45,0.41,0.39,0.36,0.34,0.31,0.295,0.28156,0.26816,0.25568,0.24405,0.23317,0.22297,0.21339,0.20439,0.19589,0.18788,0.18029,0.17311,0.1663,0.15983,0.15368,0.14782,0.14224,0.13691
Insights into the role of active site density in the fuel cell performance of CoN-C catalysts,2019,1.6,0,0,0,0,0,0.0303,,,0.05012,,0,0.01183,0.00792,0.00822,0.01198,0.03995,0.29612015,0.19824781,0.205757196,0.299874844,CoAc/phen/ZIF-8,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,800,0.133,1000,3,,,5,0,0,,,,,,,,,,802,,,,0.89,0.785,10,,1,5,3,0.5,0.2,Nafion 211,25,130,2,13.6,100,0,80,300,400,0.2,430,0,600,20,0.84,0.75,0.715,0.69,0.66,0.635,0.602,0.57,0.525,0.485,0.435,0.375,0.335,0.29,,0.502,0.475,0.45,0.41,0.37238,0.33898,0.30914,0.2823,0.25805,0.23602,0.21592,0.19751,0.18059,0.16497
Insights into the role of active site density in the fuel cell performance of CoN-C catalysts,2019,1.6,0,0,0,0,0,0.0303,,,0.05012,,0,0.01183,0.00792,0.00822,0.01198,0.03995,0.29612015,0.19824781,0.205757196,0.299874844,CoAc/phen/ZIF-8,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,800,0.133,1000,3,,,5,0,0,,,,,,,,,,802,,,,0.89,0.785,10,,1,5,3,0.5,0.2,Nafion 211,25,130,2,13.6,100,0,80,300,400,0.2,826,1,1080,100,0.92,0.8,0.765,0.745,0.725,0.701,0.685,0.665,0.65,0.63,0.615,0.598,0.575,0.55,0.53,0.502,0.475,0.45,0.41,0.37238,0.33898,0.30914,0.2823,0.25805,0.23602,0.21592,0.19751,0.18059,0.16497
Nitrogen-Coordinated Single Cobalt Atom Catalysts for Oxygen Reduction in Proton Exchange Membrane Fuel Cells,2018,20-Co-NC-1100,1,0,0,0,0,0.0124,0.0172,1.72,0.036,0.029,0,0.01271,,0.020232,0.003024,0.035966,0.353389312,0,0.56253128,0.084079408,ZIF-8/Co(NO3)2,,,,,,,,,,,,,,,,,,,,,,96.14,,,,,,,1922.8,,,2996.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,0,0,,,,,,,,,0.95,565,0.14338,0.54014,0.31649,0.93,0.8,30,,,5,4,0.1,0.46,Nafion 212,50,,,,100,1,80,200,200,0.206,560,0,490,110,0.94,0.735,0.69,0.65,0.62,0.6,0.575,0.55,0.525,0.51,0.48,0.46,0.44,0.42,0.4,0.375,0.35,0.315,0.285,0.255,0.22,0.18695,0.15741,0.13083,0.10679,0.08495,0.06501,0.04675,0.02995
Direct Growth of Carbon Nanotubes Doped with Single Atomic Fe¨CN4 Active Sites and Neighboring Graphitic Nitrogen for Ef?cient and Stable Oxygen Reduction Electrocatalysis,2019,Fe-N/CNT-2,0,0,0,0,0,0,0.009,0.9,0.03,0.0067,0,0.0134,0.0041,0.0096,0.0028,0.0299,0.448160535,0.137123746,0.321070234,0.093645485,MS/FeCl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,0,,,900,,,,,,,,,,,0.85,0.753,,,,,,,,,,,,,100,,,,,,360,0,350,20,0.92,0.705,0.655,0.595,0.55,0.505,0.49,0.44,0.405,0.395,0.35,0.32,0.3,0.28086,0.26328,0.2471,0.23214,0.21827,0.20539,0.19338,0.18216,0.17166,0.1618,0.15254,0.14382,0.13559,0.12781,0.12045,0.11347
Thermally Driven Structure and Performance Evolution of Atomically Dispersed Fe-N4 Sites for Oxygen Reduction,2019,ZIF-NC-0.5Fe-700,1,0,0.004,0,0,0,0.0112,1.12,0.034,0.019,0,0.0137,,0.015538,0.004692,0.03393,0.403772473,0,0.457942823,0.138284704,ZIF-NC/FeCl3,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,700,1,,,30,0,0,,,,,,,,,1.71,396,0.12125,0.57044,0.30831,1,0.84,10.33,,,,4.3,0.2,,Nafion 212,50,,,,100,0,,200,200,0.2,720,1,900,175,0.98,0.83,0.78,0.75,0.715,0.68,0.65,0.64,0.62,0.6,0.58,0.555,0.53,0.515,0.49,0.465,0.45,0.425,0.405,0.385,0.355,0.325,0.3,0.27619,0.25455,0.23478,0.21667,0.2,0.18462
"Activity, Performance, and Durability for the Reduction of Oxygen in PEM Fuel Cells, of Fe/N/C Electrocatalysts Obtained from the Pyrolysis of Metal-Organic-Framework and Iron Porphyrin Precursors",2015,NC Por_0.8-1050 Ar+NH3,0,0,0.00004,0,0,0,0.0445,4.45,0.0364,0.02,0,0.014014,0.0095368,0.0085176,0.0043316,0.0364,0.385,0.262,0.234,0.119,ZIF8/ClFeTMPP/NH3,,,,,,,,,,,,,,,,,,,122.3,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1,,,,,0,,,,,950,12,,,2.31,820,0.953658537,0.046341463,,,,,,1.25,1.14,4,0.5,0.4,Nafion 211,25,140,1.5,40,100,0,80,300,300,0.1,610,0,664,,1.025,0.82,0.75,0.71,0.675,0.65,0.628,0.595,0.56,0.54,0.52,0.498,0.47,0.45,0.43,0.4,0.38,0.35,0.338,0.32,0.3,0.28,0.252,0.24,0.225,0.2,0.17,0.155,0.14056
In Situ Polymer Graphenization Ingrained with Nanoporosity in a Nitrogenous Electrocatalyst Boosting the Performance of Polymer-Electrolyte-Membrane Fuel Cells,2017,Fe-N-C-Phen-PANI,1,0,0,0,0,0,0.0129,1.29,0.0396,0.0347,0,0.0151,0.0081,0.013,0.0034,0.0396,0.381313131,0.204545455,0.328282828,0.085858586,KJ600/PANI/Phen/FeAc,,,,,,5000,,,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,1530,,,,,,,,,,,,,,,,,194.17,,,194.17,,,,,,,,,,,,,,,,,,1000,0.25,1000,3,,,,1,1,25,8,,,,,,,,1005,0.77372,0.15086,0.07542,,0.76,,,0.55,5,4,0.2,0.282,Nafion 115,125,120,5,5.443,100,0,80,300,400,0.1378,750,1,980,180,0.91,0.835,0.8,0.75,0.73,0.71,0.695,0.655,0.64,0.615,0.595,0.575,0.55,0.53,0.51,0.485,0.455,0.44,0.415,0.39,0.375,0.35,0.32,0.3,0.275,0.25119,0.22955,0.20978,0.19167
In Situ Polymer Graphenization Ingrained with Nanoporosity in a Nitrogenous Electrocatalyst Boosting the Performance of Polymer-Electrolyte-Membrane Fuel Cells,2017,Fe-N-C-Phen-PANI,1,0,0,0,0,0,0.0129,1.29,0.0396,0.0347,0,0.0151,0.0081,0.013,0.0034,0.0396,0.381313131,0.204545455,0.328282828,0.085858586,KJ600/PANI/Phen/FeAc,,,,,,5000,,,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,1530,,,,,,,,,,,,,,,,,194.17,,,194.17,,,,,,,,,,,,,,,,,,800,0.25,800,3,,,,1,1,25,8,,,,,,,,910,0.7249,0.1834,0.09171,,0.775,,,0.55,5,4,0.2,0.282,Nafion 115,125,120,5,5.443,100,0,80,300,400,0.1378,855,1,1140,100,0.85,0.81,0.775,0.75,0.73,0.71,0.69,0.675,0.655,0.64,0.625,0.61,0.59,0.575,0.55,0.525,0.505,0.48,0.46,0.45,0.42,0.39,0.37,0.345,0.32,0.29619,0.27455,0.25478,0.23667
In Situ Polymer Graphenization Ingrained with Nanoporosity in a Nitrogenous Electrocatalyst Boosting the Performance of Polymer-Electrolyte-Membrane Fuel Cells,2017,Fe-N-C-Phen-PANI,1,0,0,0,0,0,0.0129,1.29,0.0396,0.0347,0,0.0151,0.0081,0.013,0.0034,0.0396,0.381313131,0.204545455,0.328282828,0.085858586,KJ600/PANI/Phen/FeAc,,,,,,5000,,,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,1530,,,,,,,,,,,,,,,,,194.17,,,194.17,,,,,,,,,,,,,,,,,,900,0.25,900,3,,,,1,1,25,8,,,,,,,1.08,1265,0.84822,0.10119,0.05059,0.94,0.8,18,,0.55,5,4,0.2,0.282,Nafion 115,125,120,5,5.443,100,0,80,300,400,0.1378,1060,1,1425,200,0.95,0.88,0.865,0.85,0.82,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.635,0.625,0.605,0.585,0.575,0.55,0.53,0.52,0.5,0.48,0.46,0.44,0.425,0.41,0.39,0.37086,0.35328
Space-Confinement-Induced Synthesis of Pyridinic- and PyrrolicNitrogen-Doped Graphene for the Catalysis of Oxygen Reduction,2013,NG@MMT,1,0,0,0,0,0,,,0.035,0.145,0,0.015708,0.0124005,0.003444,0.003444,0.0349965,0.448844884,0.354335434,0.098409841,0.098409841,MMT/aniline/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,200mg,,,,,,,,,,,,,,,900,3,,,10,1,22.5,,,,,,,,,1.3,247.01,,,,0.895,0.77,,,2,,0.3,0.3,0.4,Nafion 112(pretreated with 3 vol. % H2O2 and 0.5 M H2SO4),50,137,2,5,100,0,,150,200,0.2,320,0,120,0,0.83,0.62,0.56,0.515,0.475,0.45,0.42,0.385,0.36,0.335,0.315,0.29,0.27,0.24,0.225,0.205,0.18586,0.16828,0.1521,0.13714,0.12327,0.11039,0.09838,0.08716,0.07666,0.0668,0.05754,0.04882,0.04059
Pyrolysis of Iron-Vitamin B9 As a Potential Nonprecious Metal Electrocatalyst for Oxygen Reduction Reaction,2017,py-Fe-FA/C,1,0,0,0,0,0,0.0356,3.56,0.0359,0.1182,0,0.0167,0.0108,0.0084,0,0.0359,0.465181058,0.300835655,0.233983287,0,vitamin B9/FeCl3¡¤6H2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,3,,,20,0,0,,,,,,,,,,,,,,0.95,0.78,,,2,5,6,0.25,,Nafion 212,50,135,2,13.257,100,0,80,,,0.1,330,0,140,0,0.82,0.62,0.55,0.51,0.47,0.435,0.41,0.38,0.36,0.34,0.32,0.3,0.27,0.25,0.22,0.2,0.18086,0.16328,0.1471,0.13214,0.11827,0.10539,0.09338,0.08216,0.07166,0.0618,0.05254,0.04382,0.03559
In Situ Polymer Graphenization Ingrained with Nanoporosity in a Nitrogenous Electrocatalyst Boosting the Performance of Polymer-Electrolyte-Membrane Fuel Cells,2017,Fe-N-C-PANI,1,0,0,0,0,0,0.0129,1.29,0.0418,0.0331,0,0.0181,0.0085,0.0121,0.0031,0.0418,0.433014354,0.203349282,0.289473684,0.074162679,KJ600/PANI/FeAc,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,3060,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,900,0.25,900,3,,,,1,1,25,8,,,,,,,1.11,837,1,0,0,0.94,0.79,,,0.55,5,4,0.2,0.282,Nafion 115,125,120,5,5.443,100,0,80,300,400,0.1378,870,1,1150,175,0.89,0.83,0.8,0.77,0.75,0.725,0.705,0.68,0.66,0.65,0.63,0.61,0.585,0.57,0.55,0.53,0.51,0.49,0.46,0.445,0.425,0.405,0.38,0.355,0.335,0.315,0.295,0.27586,0.25828
The role of transition metals in non-precious nitrogen-modified carbon-based electrocatalysts for oxygen reduction reaction,2012,CoeED/ PPyeCNF-10,1,0,0,0,0,0.027,,,0.03968,,0,0.01857024,0.00865024,0.01174528,0,0.03896576,0.476578411,0.221995927,0.301425662,0,Ppy/ED/CNF/Co(NO3)2.6H2O,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,114,,,,,,,100,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1,,,,1,1,80,3,,,,,,,,,,,,0.87,0.68,,,,5,8,,,Nafion 212,50,,,,100,1,75,300,600,0.2026,330,0,140,0,0.86,0.64,0.57,0.52,0.49,0.455,0.425,0.4,0.375,0.35,0.325,0.3,0.27619,0.25455,0.23478,0.21667,0.2,0.18462,0.17037,0.15714,0.14483,0.13333,0.12258,0.1125,0.10303,0.09412,0.08571,0.07778,0.07027
High-performance fuel cell cathodes exclusively containing atomically dispersed iron active sites,2020,"1,5Fe-ZIF",1,0,0.01,0,0,0,0.021,2.1,0.045,,0,0.019,0.0045,0.0016,0.00675,0.03185,0.596546311,0.141287284,0.050235479,0.211930926,ZIF-8/Fe(NO3)3,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,3390,,,3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,0,0,,,,,,,,,0.84,640,0.84429,0,0.15571,1,0.88,7.5,,0.55,5,4,0.2,0.4,Nafion 211,25,125,5,,100,0,80,200,200,0.1,650,0,760,114,0.98,0.8,0.75,0.725,0.69,0.66,0.64,0.61,0.595,0.57,0.55,0.52,0.5,0.475,0.45,0.43,0.41,0.39,0.37,0.34,0.31,0.29,0.27,0.24,0.225,0.2,0.19956,0.18616,0.17368
Fe2N nanoparticles boosting FeNx moieties for highly efficient oxygen reduction reaction in Fe-N-C porous catalyst,2019,Fe-N-C/HPC-NH3,1,0,0.0011,0,0,0,0.0354,3.54,0.0556,0.00782,0,0.0212,0.0567,0.0217,0.00702,0.10662,0.198836991,0.53179516,0.203526543,0.065841306,ZIF-8/FeCl3,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,1860,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,0.167,950,2,,,5,1,1,80,8,,,,,,,,1011,0.19133,0.53574,0.27294,0.945,0.803,,,0.8167,6.25,4,0.4,0.6,GORE M820.15,,135,2,1.5,100,0,65,400,1000,0.206,540,0,670,90,0.93,0.79,0.75,0.715,0.68,0.65,0.62,0.59,0.56,0.53,0.5,0.47,0.43,0.41,0.39,0.355,0.33,0.30619,0.28455,0.26478,0.24667,0.23,0.21462,0.20037,0.18714,0.17483,0.16333,0.15258,0.1425
Studies of oxygen reduction reaction active sites and stability of nitrogen-modified carbon composite catalysts for PEM fuel cells,2010,NMCC-SiO2-800-3,0,0,0,0,0,0,,,0.0593,,0,0.0220003,,0.0250839,0.0122158,0.0593,0.371,0,0.423,0.206,FeSO4/Co(NO3)2/EDA/SiO2,,,,,,,,470,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,800,1,,,,1,1,80,8,800,3,,,,,,,,,,,,,,0.33,5,2,0.5,,Nafion 112,50,140,3,1.5,100,0,75,300,400,0.2068,450,0,200,0,0.85,0.665,0.6,0.555,0.525,0.49,0.47,0.445,0.43,0.41,0.395,0.375,0.35,0.335,0.32,0.3,0.28,0.26,0.245,0.225,0.205,0.18586,0.16828,0.1521,0.13714,0.12327,0.11039,0.09838,0.08716
"Highly Efficient Fe?N?C Electrocatalyst for Oxygen Reduction Derived from Core?Shell-Structured Fe(OH)3@Zeolitic Imidazolate Framework
Framework",2019,C?Fe(OH)3@ ZIF-1000,1,0,0,0,0,0,0.03,3,0.0578,,0,0.0235,0.0013,0.0318,0.0011,0.0577,0.407279029,0.022530329,0.551126516,0.019064125,Fe-(OH)3@ZIF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2,,,5,1,1,80,6,,,,,,,1.03,1021,0.20475,0.61965,0.1756,0.91,0.8,26,,,5,2,0.1,,Nafion membrane,,135,3,,,,80,400,200,0.21,411,0,400,67,,0.765,0.68,0.63,0.6,0.55,0.5,0.51,0.48,0.44,0.4,0.36,0.34,0.31,0.28,0.25156,0.22592,0.2027,0.18157,0.16225,0.14452,0.1282,0.11312,0.09915,0.08617,0.07407,0.06277,0.0522,0.04228
High-purity pyrrole-type FeN4 sites as a superior oxygen reduction electrocatalyst,2020,Fe-N4,1,0,0,0,0,0,,,0.045,,0,0.024,0.002,,,0.026,0.923076923,0.076923077,0,0,Polyaniline/KJ 600,,,,,,2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333,2040,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,900,1,,,5,1,2,60,12,,,,,,,1.027,527.7,0.12293,0.67025,0.20682,0.86,0.71,,,0.55,5,4,0.2,0.2,Nafion 211,25,130,5,,100,0,80,400,400,0.2,450,0,350,30,0.92,0.73,0.67,0.625,0.58,0.55,0.505,0.48,0.46,0.44,0.41,0.39,0.365,0.34,0.315,0.29,0.245,0.2,0.17619,0.15455,0.13478,0.11667,0.1,0.08462,0.07037,0.05714,0.04483,0.03333,0.02258
Is iron involved in the lack of stability of Fe/N/C electrocatalysts used to reduce oxygen at the cathode of PEM fuel cells?,2016,NC_Ar+NH3,0,0,0,0,0,0,0.0603,6.03,0.0482,0.0292,0,0.0242,0.0005,0.0161,0.0074,0.0482,0.502074689,0.010373444,0.334024896,0.153526971,ZIF-8/Phen/FeAc,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,1050,1,,,,0,0,,,,,950,0.25,,,,731,0.85636,0.14364,0,0.96,0.85,,,1.36,1.14,4,0.5,0.46,Nafion 211,25,120,,19.89,100,0,80,300,300,0.2,655,0,150,190,1.02,0.83,0.79,0.755,0.73,0.705,0.68,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.47,0.45,0.42,0.395,0.37,0.34,0.305,0.28,0.25,0.215,0.19,0.16,0.135,0.11,0.08619
Identification of binuclear Co2N5 active sites for oxygen reduction reaction with more than one magnitude higher activity than single atom CoN4 site,2019,Co-N-C-10,1,0,0,0,0,0.043,0,0,0.0517,0.041,0,0.0264,0.01,0.015,,0.0514,0.513618677,0.194552529,0.291828794,0,ZIF-8/Co(NO3)2,,,,,,,,,,,,,,,,,,,,,,179.92,,,,,,,1839.02,,,2996.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,,,5,0,0,,,,,,,,,1.25,830,0.45982,0.4936,0.04657,0.92,0.79,6,,0.465,5,4,0.2,0.2,Nafion 211,25,120,5,5.443,100,0,80,300,400,0.13,418,0,615,150,0.94,0.83,0.78,0.745,0.7,0.65,0.6,0.555,0.51,0.465,0.42,0.37,0.335,0.30195,0.27241,0.24583,0.22179,0.19995,0.18001,0.16175,0.14495,0.12945,0.1151,0.10178,0.08938,0.07781,0.06698,0.05684,0.04731
"Activity, Performance, and Durability for the Reduction of Oxygen in PEM Fuel Cells, of Fe/N/C Electrocatalysts Obtained from the Pyrolysis of Metal-Organic-Framework and Iron Porphyrin Precursors",2015,NC Por_0.8-950 Ar+NH3,0,0,0.0035,0,0,0,0.0431,4.31,0.0579,0.0213,0,0.027213,0.0190491,0.0066585,0.0049794,0.0579,0.47,0.329,0.115,0.086,ZIF8/ClFeTMPP/NH3,,,,,,,,,,,,,,,,,,,122.3,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,1,,,,,0,,,,,950,5,,,2.35,897,0.950947603,0.049052397,,,,,,1.25,1.14,4,0.5,0.4,Nafion 211,25,140,1.5,40,100,0,80,300,300,0.1,416,0,466,,1.025,0.805,0.73,0.675,0.638,0.58,0.55,0.5,0.46,0.43,0.4,0.365,0.34,0.32,0.28,0.26,0.235,0.2,0.165,0.14,0.12,0.10086,0.08328,0.0671,0.05214,0.03827,0.02539,0.01338,0.00216
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,5,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.2068,465,0,650,135,0.99,0.81,0.775,0.735,0.7,0.66,0.62,0.585,0.535,0.49,0.45,0.42,0.39,0.35,0.32,0.29,0.25,0.21,0.17,0.15,0.13086,0.11328,0.0971,0.08214,0.06827,0.05539,0.04338,0.03216,0.02166
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,2,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.1379,530,0,675,100,0.92,0.8,0.74,0.71,0.68,0.65,0.62,0.59,0.555,0.53,0.5,0.47,0.435,0.402,0.36,0.31,0.25,0.18,0.145,0.11195,0.08241,0.05583,0.03179,0.00995,0,0,0,0,0
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,1,0.1,0.2,Nafion 211,25,,,,100,1,60,300,300,0.2068,540,0,780,150,0.99,0.81,0.775,0.755,0.72,0.695,0.66,0.625,0.59,0.54,0.49,0.44,0.4,0.38,0.37,0.355,0.34,0.315,0.29,0.265,0.24,0.21619,0.19455,0.17478,0.15667,0.14,0.12462,0.11037,0.09714
Atomic Fe-Doped MOF-Derived Carbon Polyhedrons with High Active-Center Density and Ultra-High Performance toward PEM Fuel Cells,2019,C-Fe-ZIF-1.44-950,1,0,0,0,0,0,0.01,1,0.0551,,0,0.0278,0.0051,0.01653,0.0051,0.05453,0.509811113,0.093526499,0.303135889,0.093526499,Ferrocene/ZIF-8,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,1785,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,3,,,5,1,1,80,12,950,3,,,,,,1255,0.36408,0.63592,0,0.91,0.78,,,1,5,1,0.1,0.2,Nafion 211,25,,,,100,1,80,300,300,0.0689,560,0,770,100,0.95,0.8,0.76,0.73,0.702,0.675,0.645,0.62,0.59,0.56,0.53,0.5,0.47,0.43,0.38,0.32,0.24,0.15,0.0678,0,0,0,0,0,0,0,0,0,0
