Title,Year,Sample Name,Paper Type(1 for material papers 0 for fuel cell papers),Pt Content wt/%,Zn Content wt/%,Mn Cotent wt/%,Cu Cotent wt/%,Co Cotent wt/%,Fe Cotent wt/%(ICP for metal),Fe,N Content at/%,O Content at/%,S Content at/%,Pyridinic N+metal N Content at/%,Pyrrolic N Content at/%,Graphitic N Content at/%,Oxidized N Content at/%,sum,Pyridinic N+metal N Content ratio at/%,Pyrrolic N Content ratio at/%,Graphitic N Content ratio at/%,Oxidized N Content ratio at/%,Precursor Type(mg),FeC2O4¡¤2H2O,Fe(acac)3,Fe(NO3)3,Fe(NO3)3.9H2O,FeCl2,FeCl3,Fe(SCN)3,FeSO4.7H2O,Fe(Ac)2,Ferrocene,Ferrocene(diffusion),"Tris-1,10phenanthroline iron(II) perchlorate",Fe powder,FePc,PFeTTPP,FeTMPPCl,Fe¨Ccorrole ,Fe(acac)3,hemin,ZnO,CoTMPP,Co(NO3)2.6H2O,Co(Ac)2,CoCl2,VB12,Mn(Ac)2,H2PtCl6,TMPP,Zinc nitrate hexahydrate,ZnCl2,imidazole,2-methylimidazole,H3BTT.2HCl,purchased ZIF-8,furfuryl alcohol,mPDA,nicarbazin,EDA(ethylenediamine ),ammonium peroxidisulfate ,PANI(by aniline),PAN powder,triethylenetetramine,polyimide,poly(methyl methacrylate),Pyrrole(monomer),polyacrylonitrile-polymethacrylic acid copolymer ,MWCNT,CNF,PSS coated GO ,GO,Graphene nano-platelets (GNP) ,PEI,C3N4,melamine,cyanamide,dicyandiamide ,"1,10-phenanthroline",Vulcan XC-72R,acid-treated KJ600,KJ600,BP2000,EC300,ZnO,SBA-15,MMT,SiO2,NaCl,OMS,PTFE,Fe3O4 microspheres,ZIF-NC,CTAB,F127,PVP,NaOH,Tetraethyl orthosilicate ,PmPDA-KJ600,First Pyrolysis Temperature in amonia /¡æ,First Pyrolysis Time amonia/h,First Pyrolysis Temperature in inert atomosphere/¡æ,First Pyrolysis Time inert/h,First Pyrolysis Temperature in H2 atomosphere/¡æ,First Pyrolysis Time H2/h,Rising Rate ¡æ/min,Acid Wash (1 for yes 0 for no),Acid concentration (M),Acid wash temperature/¡æ,Acid wash time/h,Second Pyrolysis temperature inert/¡æ,Second Pyrolysis time inert,Second Pyrolysis temperature amonia/¡æ,Second Pyrolysis time amonia/h,Second Pyrolysis temperature H2/¡æ,Second Pyrolysis time H2/h,Raman ID/IG ratio ,BET Surface Area cm2/g,Micropore ratio,Mesopore ratio,Macropore ratio,Onset Potential in Acid Condition (vs. RHE),Half Wave Potential in Acid Condition (vs. RHE),Durability in O2 mV/10000Cycle,Durability in N2 mV/10000Cycle,I/C Ratio(ionomer/catalyst),Effective Area cm2,Cathodic Loading Amount mg cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,Membrane Thickness,Hot Press Temperature ¡æ,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,Spray(1 for yes 0 for no),Operating Temperature ¡æ,Flowing rate of H2 ml min-1 ,Flowing rate of O2 ml min-1 ,Back Pressure Mpa,Maximum Power Density mW cm-2 ,higher than 700,Current density at 0.6V mA/cm2,Current density at 0.8V mA/cm2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0
Highly efficient nonprecious metal catalyst prepared with metal¨Corganic framework in a continuous carbon nanofibrous network,2015,ZIF8_24%,0,0,0,0,0,0,0.0056,0.56,0.0903,,0,,,,,,,,,,"TPI/ZIF-8/PAN/poly
(methyl methacrylate)",,,,,,,,,,,,0.02439,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,0.4416,,,,0.2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,1000,1,,,,1,1,25,0.67,,,700,1,,,,809,0.84,0.16,0,0.92,0.8,,2.4,1.5,5,3,0.3,0.2,Nafion211,25,130,2,13.61,100,0,80,300,400,0.2,900,1,1240,250,1,0.85,0.81,0.79,0.76,0.745,0.72,0.7,0.68,0.655,0.645,0.62,0.6,0.58,0.56,0.54,0.525,0.5,0.48,0.47,0.445,0.425,0.4,0.38,0.36,0.35,0.34031,0.33119,0.3226
S-Doping of an Fe/N/C ORR Catalyst for Polymer Electrolyte Membrane Fuel Cells with High Power Density,2015,Fe-N-C/SCN,1,0,0,0,0,0,0.0369,3.69,0.044,,0.021,,,,,,,,,,mPDA/KJ600/Fe(SCN)3 ,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,950,3,,,,1,1,80,8,950,3,,,,,,751,0.55126,0.44874,0,0.95,0.836,,,1.07,1,4,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.1,940,1,1225,160,0.97,0.825,0.795,0.77,0.75,0.73,0.705,0.695,0.675,0.655,0.64,0.625,0.605,0.575,0.565,0.55,0.53,0.515,0.495,0.475,0.46,0.44,0.425,0.41,0.385,0.37,0.35,0.32,0.29156
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C w/o PVP,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,1000,2,,,10,,0,,,,,,,,,,1198.6,0.90523,0.09477,0,0.902,0.805,,,1,5,2.8,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,975,1,1300,200,0.98,0.825,0.8,0.78,0.75,0.74,0.72,0.701,0.69,0.665,0.65,0.64,0.62,0.6,0.59,0.565,0.55,0.535,0.515,0.5,0.485,0.455,0.44,0.42,0.4,0.385,0.36,0.35,0.34031
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,1.9,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,1000,1,1200,200,0.98,0.825,0.8,0.775,0.745,0.725,0.705,0.69,0.67,0.65,0.635,0.62,0.6,0.59,0.565,0.55,0.54,0.515,0.501,0.49,0.475,0.45,0.44,0.42,0.405,0.395,0.375,0.36,0.34556
S-Doping of an Fe/N/C ORR Catalyst for Polymer Electrolyte Membrane Fuel Cells with High Power Density,2015,Fe-N-C/SCN,1,0,0,0,0,0,0.0369,3.69,0.044,,0.021,,,,,,,,,,mPDA/KJ600/Fe(SCN)3 ,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,950,3,,,,1,1,80,8,950,3,,,,,,751,0.55126,0.44874,0,0.95,0.836,,,1.07,1,4,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.2,1030,1,1375,250,0.97,0.86,0.82,0.8,0.775,0.755,0.735,0.72,0.7,0.68,0.665,0.65,0.63,0.62,0.595,0.58,0.56,0.545,0.525,0.51,0.495,0.475,0.46,0.445,0.425,0.41,0.395,0.365,0.33656
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,2Mim/ZnO/FeAc/PVP,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,2.8,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.2,1110,1,1700,400,0.99,0.875,0.84,0.81,0.795,0.775,0.755,0.75,0.735,0.715,0.7,0.685,0.675,0.65,0.645,0.625,0.61,0.6,0.59,0.57,0.55,0.515,0.5,0.49,0.475,0.45,0.43,0.415,0.29031
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,2.8,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,1141,1,1700,400,0.99,0.875,0.84,0.81,0.795,0.775,0.755,0.75,0.735,0.715,0.7,0.685,0.675,0.65,0.645,0.625,0.61,0.6,0.59,0.57,0.55,0.53,0.515,0.5,0.49,0.465,0.45,0.43,0.41086
Fe¨CN¨CC electrocatalyst with dense active sites and efficient mass transport for high-performance proton exchange membrane fuel cells,2019,TPI@Z8(SiO2)-650-C,0,0,0.0142,0,0,0,0.0301,3.01,0.1079,0.0263,0,,,,,,,,,,TPI/ZIF-8/SiO2,,,,,,,,,4.3736,,,,,,,,,,,,,,,,,,,,2205,,,2430,,,,,,,,,,,,,,,,,,,,,,,,,13.5945,,,,,,,,,,,,,,,150,,,57.6,1120.8,,800,0.25,1000,1,,,10,0,0,,,,,,,,,,1648,0.60534,0.39466,0,0.98,0.823,,,1,5,2.7,0.2,0.4,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,1180,1,1750,300,0.96,0.85,0.825,0.8,0.785,0.775,0.76,0.75,0.74,0.72,0.71,0.7,0.68,0.665,0.65,0.63,0.62,0.605,0.59,0.575,0.555,0.54,0.525,0.51,0.49,0.475,0.455,0.445,0.43531
Fe/N/C Catalyst Graphitic Layer Structure and Fuel Cell Performance,2017,Fe-N-C,1,0,0,0,0,0,0.05,5,0.03,,0,,,,,,,,,,Silica/iron nitrate nonahydrate,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,,975,0.75,30,1,23,25,96,,,950,0.5,,,,,,,,,,,,,5,3,,,Nafion membrane using PTFEimpregnated glass-fiber sub-gaskets,25,131,10,3.102,100,0,80,250,200,0.1,490,0,657,100,0.956,0.8,0.75,0.72,0.69,0.66,0.63,0.59,0.55,0.51,0.47,0.44,0.4,0.375,0.35,0.32,0.19156,0.16592,0.1427,0.12157,0.10225,0.08452,0.08452,0.0682,0.05312,0.03915,0.02617,0.01407,0.00277
High-performance pyrolyzed iron corrole as a potential non-precious metal catalyst for PEMFCs,2013,Py-Fe-corrole/C,0,0,0,0,0,0,0.0095,0.95,,,0,,,,,,,,,,Fe¨Ccorrole/XC-72R,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,700,20,,,,0,0,,,,,,,,,,,,,,0.98,0.74,,,2,5,2,0.25,,Nafion 212,50,135,2,13,100,0,70,100,150,0.1,330,0,110,0,0.82,0.61,0.55,0.5,0.46,0.43,0.4,0.375,0.355,0.335,0.32,0.3,0.275,0.25,0.225,0.2,0.17619,0.15455,0.13478,0.11667,0.1,0.08462,0.07037,0.05714,0.04483,0.03333,0.02258,0.0125,0.00303
Co nanoparticle embedded in atomically-dispersed Co-N-C nanofibers for oxygen reduction with high activity and remarkable durability,2018,Co@SACo-N-C-20,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,2,,,3,0,0,,,900,10,900,0.333,,,,,,,,,,,,0.818,6.25,3,0.4,0.2,Nafion 212,50,135,2,2,100,0,70,400,200,0.2068,360,0,160,0,0.81,0.64,0.58,0.52,0.48,0.43,0.39,0.36,0.34,0.32,0.31,0.3,0.295,0.28,0.225,0.1738,0.12921,0.09003,0.05533,0.02439,0,0,0,0,0,0,0,0,0
Vitalizing fuel cells with vitamins: pyrolyzed vitamin B12 as a non-precious catalyst for enhanced oxygen reduction reaction of polymer electrolyte fuel cells,2012,py-B12/C ,1,0,0,0,0,0.0095,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,700,2,,,20,0,0,,,,,,,,,,,,,,,,,,0.5,5,6,0.075,0.3,Nafion 212,50,135,2,13,100,0,70,100,150,0.1,370,0,400,50,0.86,0.75,0.675,0.63,0.6,0.57,0.545,0.505,0.455,0.405,0.34,0.25,0.1678,0.09871,0.03982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron-based cathode catalyst with enhanced power density in polymer electrolyte membrane fuel cells,2011,1/50/50-BP-1050 ¡ãC-60 min,0,0,0,0,0,0,0.0202,2.02,0.024,,0,,,,,,,,,,"BP2000/1,10-Phenanthroline/FeAc",,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,500,,,,,,,,,,,,,,,,,950,1,1050,1,,,,0,0,,,,,,,,,,767,0.78879,0.21121,0,,,,,1.5,1,3.9,0.23,0.46,Nafion117,175,140,0.67,19.824,100,0,80,300,300,0.1,450,0,535,60,0.9,0.775,0.725,0.675,0.65,0.6,0.575,0.54,0.51,0.655,0.45,0.405,0.375,0.35,0.325,0.285,0.25,0.225,0.2,0.175,0.15,0.125,0.09,0.06433,0.04108,0.01992,5.85E-04,0,0
Ordered mesoporous porphyrinic carbons with very high electrocatalytic activity for the oxygen reduction reaction,2013,FeCo-OMPC(L),1,0,0,0,0,0.023,0.025,2.5,0.0485,,0,,,,,,,,,,OBMC/FeTMPPCl/CoTMPP,,,,,,,,,,,,,,,,500,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,1000,3,,,2.5,1,5.625,25,1,,,,,,,,1190,0.66486,0.33514,0,1,0.851,45,24,1.252,25,1.52,0.42,0.6,Nafion 212,50,140,2,40,100,0,80,350,2000,0.2,720,1,513,131,0.98,0.75,0.69,0.65,0.625,0.6,0.585,0.565,0.55,0.535,0.52,0.505,0.495,0.475,0.47,0.46,0.45,0.44031,0.43119,0.4226,0.41449,0.40683,0.39957,0.39269,0.38615,0.37994,0.37403,0.36839,0.36301
Iron-based cathode catalyst with enhanced power density in polymer electrolyte membrane fuel cells,2011,1/20/80-Z8-1050 ¡ãC-15 min,0,0,0.01,0,0,0,0.0358,3.58,0.053,,0,,,,,,,,,,"ZIF-8/1,10-Phenanthroline/FeAc",,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,950,0.25,1050,1,,,,0,0,,,,,,,,,,967,0.81563,0.18437,0,,,,,1.5,1,3.9,0.23,0.46,Nafion117,175,140,0.67,19.824,100,0,80,300,300,0.1,910,1,1250,275,0.92,0.85,0.81,0.79,0.77,0.75,0.73,0.705,0.675,0.66,0.65,0.63,0.605,0.595,0.575,0.55,0.54,0.525,0.5,0.475,0.45,0.43,0.4,0.37156,0.34592,0.3227,0.30157,0.28225,0.26452
High performance Pt-free cathode catalysts for polymer electrolyte membrane fuel cells prepared from widely available chemicals,2014,Fe/PI-1000-III-NH3 ,1,0,0,0,0,0,0.011,1.1,0.031,,0,,,,,,,,,,PMDA/ODA/Fe(acac)3,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1,,,,,,1,12,,,,,1000,1,,,,1050,0.8038,0.1961,0,0.91,0.76,,,0.6,1,4,0.4,,Nafion 211,25,150,2,3,100,0,80,300,300,0.2,600,0,1000,200,1,0.85,0.8,0.78,0.75,0.74,0.71,0.7,0.675,0.645,0.6,0.55783,0.52065,0.48762,0.45808,0.43151,0.40749,0.38565,0.36573,0.34747,0.33067,0.31517,0.30083,0.28751,0.27512,0.26355,0.25273,0.24259,0.23307
"High-Performance Electrocatalysts for Oxygen Reduction Derived from Polyaniline, Iron, and Cobalt",2011,PANI-Fe-C,0,0,0,0,0,0,,,,,0,,,,,,,,,,EC 300J/aniline/ammonium peroxydisulfate/FeCl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.92,0.81,,10,,5,4,0.25,,Nafion 115,125,,,,100,,85,200,400,0.28,286,0,352,43,0.968,0.676,0.619,0.566,0.529,0.489,0.448,0.401,0.358,0.31765,0.28197,0.25021,0.22174,0.19609,0.17285,0.1517,0.13237,0.11463,0.0983,0.08321,0.06923,0.05624,0.04414,0.03284,0.02226,0.01234,0.00301,0,0
Role of two carbon phases in oxygen reduction reaction on the Co¨CPPy¨CC catalyst,2014,Co-Ppy-C,0,0,0,0,0,0,,,,,0,,,,,,,,,,Co(NO3)2.6H2O/NH4)2S2O8/pyrrole/EC300,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,900,1,,,,1,0.5,80,8,,,,,,,,61,,,,0.85,0.68,,,0.6,5,3,0.25,,Nafion212,50,,,,100,0,80,200,200,0.2,297,0,180,0,0.8,0.65,0.58,0.51,0.48,0.43,0.4,0.38,0.35,0.31,0.29,0.27,0.24,0.21,0.18156,0.15592,0.1327,0.11157,0.09225,0.07452,0.0582,0.04312,0.02915,0.01617,0.00407,0,0,0,0
Phenylenediamine-Based FeNx/C Catalyst with High Activity for Oxygen Reduction in Acid Medium and Its Active-Site Probing,2014,PmPDA-FeNx/C,0,0,0,0,0,0,0.0074,0.74,0.03643,,0,,,,,,,,,,PmPDA-KJ600/FeCl3,,,,,,1.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,950,1,,,,1,1,80,8,950,3,,,,,,656,0.75914,0.2408,0,0.94,0.82,,,1.5,2,4,0.5,0.6,Nafion 211,25,,,,100,0,80,300,300,0,340,0,450,75,0.92,0.77,0.72,0.67,0.62,0.58,0.53,0.49,0.435,0.375,0.32,0.27,0.2233,0.18239,0.14625,0.1141,0.0853,5.94E-02,0.03588,0.01452,0,0,0,0,0,0,0,0,0
"High-Performance Electrocatalysts for Oxygen Reduction Derived from Polyaniline, Iron, and Cobalt",2011,PANI-FeCo-C(1),0,0,0,0,0,0,,,,,0,,,,,,,,,,EC 300J/aniline/ammonium peroxydisulfate/Co(NO3)2?6H2O/FeCl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1,,,,1,0.5,80,8,400,3,,,,,,,,,,,,,,,5,4,0.25,,Nafion 115,125,,,,100,,85,200,400,0.28,434,0,568,63.6,0.946,0.718,0.678,0.641,0.615,0.586,0.553,0.534,0.509,0.483,0.45826,0.43581,0.41535,0.39662,0.37941,0.36355,0.34887,0.33526,0.32261,0.3108,0.29977,0.28944,0.27974,0.27061,0.26202,0.25391,0.24624,0.23897,0.23209
Highly Active Porous Carbon-Supported Nonprecious Metal-N Electrocatalyst for Oxygen Reduction Reaction in PEM Fuel Cells,2010,FeCo-EDA-KJ600R,1,0,0,0,0,0.0431,0.0414,4.14,0.0218,0.03576,0,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,900,,,,20,1,1,25,8,,,,,,,,483.7,0.28139,0.71861,0,0.89,0.72,,,1,,4,,,Nafion 212,50,,,,100,1,80,120,300,0.2068,440,0,370,40,0.89,0.72,0.68,0.63,0.595,0.56,0.525,0.5,0.47,0.43,0.405,0.39,0.36,0.34,0.31,0.285,0.25,0.21,0.17238,0.13898,0.10914,0.0823,0.05805,0.03602,0.01592,0,0,0,0
Facile and Gram-scale Synthesis of Metal-free Catalysts: Toward Realistic Applications for Fuel Cells,2015,g-CN-CNT-700,0,0,0,0,0,0,,,,,0,,,,,,,,,,g-CN/CNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,100,,,,,,,,,,,,,,,,,,,,700,0.5,,,100,0,0,,,,,,,,,,,,,,0.75,0.42,,,,5,5,0.2,0.4,Nafion 212,50,,,,100,1,25,,,,464,0,649,90,,0.78,0.73,0.7,0.67,0.64,0.62,0.58,0.54,0.5,0.46,0.424,0.37,0.34,0.305,0.27195,0.24241,0.21583,0.19179,0.16995,0.15001,0.13175,0.11495,0.09945,0.0851,0.07178,0.05938,0.04781,0.03698
Preparation of non-precious metal catalysts for PEMFC cathode from pyrolyzed vitamin B12,2012,Py-B12/C-700,1,0,0,0,0,0,,,,,0,,,,,,,,,,Cyanocobalamin/XC-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,2,,,,,0,,,,,,,,,,,,,,,,,,0.5,5,10,0.25,,Nafion 211,25,,,,100,,70,100,150,0.1,540,0,920,66,0.852,0.777,0.731,0.708,0.697,0.694,0.689,0.678,0.651,0.616,0.56,0.2489,0.20358,0.1638,0.1286,0.09724,0.06912,0.04375,0.02077,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
"High-Performance Electrocatalysts for Oxygen Reduction Derived from Polyaniline, Iron, and Cobalt",2011,PANI-FeCo-C(2),0,0,0,0,0,0,,,,,0,,,,,,,,,,EC 300J/aniline/ammonium peroxydisulfate/Co(NO3)2?6H2O/FeCl3/EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,,,,1,0.5,80,8,,,,,,,,,,,,,,,,,5,4,0.25,,Nafion 115,125,,,,100,,85,200,400,0.28,550,0,671,107,0.941,0.761,0.719,0.675,0.646,0.618,0.583,0.549,0.526,0.481,0.43883,0.40165,0.36862,0.33908,0.31251,0.28849,0.26665,0.24673,0.22847,0.21167,0.19617,0.18183,0.16851,0.15612,0.14455,0.13373,0.12359,0.11407,0.1051
Critical advancements in achieving high power and stable nonprecious metal catalyst¨Cbased MEAs for real-world proton exchange membrane fuel cell applications,2018,CA#1,0,0,0,0,0,0,0.0088,0.88,0.0162,0.0712,0,,,,,,,,,,polyacrylonitrile-polymethacrylic acid copolymer/2-methylimidazole/ZnCl2,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,5780,,1000,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,1,12,25,0.5,700,1,,,,,,1085,0.913,0.086,0,,,,,0.67,50,1,0.1,,Nafion 211,25,,,,100,,75,,,0.173,645,0,550,50,0.82,0.75,0.7,0.66,0.64,0.61,0.585,0.56,0.54,0.53,0.505,0.49,0.47,0.45,0.44,0.43,0.42031,0.41119,0.4026,0.39449,0.38683,0.37957,0.37269,0.36615,0.35994,0.35403,0.34839,0.34301,0.33787
Critical advancements in achieving high power and stable nonprecious metal catalyst¨Cbased MEAs for real-world proton exchange membrane fuel cell applications,2018,CA#1,0,0,0,0,0,0,0.0088,0.88,0.0162,0.0712,0,,,,,,,,,,polyacrylonitrile-polymethacrylic acid copolymer/2-methylimidazole/ZnCl2,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,5780,,1000,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,1,12,25,0.5,700,1,,,,,,1085,0.913,0.086,0,,,,,0.67,50,2.5,0.1,,Nafion 211,25,,,,100,,75,,,0.173,663,0,750,150,0.9,0.82,0.78,0.74,0.705,0.685,0.66,0.63,0.615,0.595,0.575,0.55,0.53,0.51,0.49086,0.47328,0.4571,0.44214,0.42827,0.41539,0.41539,0.40338,0.39216,0.38166,0.3718,0.36254,0.35382,0.34559,0.33781
Critical advancements in achieving high power and stable nonprecious metal catalyst¨Cbased MEAs for real-world proton exchange membrane fuel cell applications,2018,CA#1,0,0,0,0,0,0,0.0088,0.88,0.0162,0.0712,0,,,,,,,,,,polyacrylonitrile-polymethacrylic acid copolymer/2-methylimidazole/ZnCl2,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,5780,,1000,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,1,12,25,0.5,700,1,,,,,,1085,0.913,0.086,0,,,,,0.67,50,4,0.1,,Nafion 211,25,,,,100,,75,,,0.173,678,0,900,150,0.9,0.82,0.78,0.74,0.705,0.68,0.64,0.615,0.595,0.57,0.55,0.53,0.505,0.49,0.465,0.45,0.43556,0.42216,0.40968,0.39805,0.38717,0.37697,0.35839,0.34989,0.34188,0.33429,0.32711,0.3203,0.31383
Boosting Oxygen Reduction Catalysis with Fe-N4 Sites Decorated Porous Carbons toward Fuel Cells,2020,FeSAs/N-C,1,0,0,0,0,0,0.035,3.5,,,0,,,,,,,,,,PEI/C3N4/FeCl2/,,,,,21.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,150,,,,99.11,,,,,,,,,,,,,,,,,,,,,,,100,1,,,5,0,0,,,,,,,,,,1097,0.05539,0.94,0,0.95,0.798,9,,1,12.25,1.5,0.2,0.4,Nafion 211,25,,,,100,0,80,,,0.1,680,0,610,25,0.81,0.77,0.71,0.69,0.66,0.645,0.63,0.61,0.6,0.59,0.575,0.56,0.545,0.53,0.52,0.5,0.46,0.43,0.4,0.37156,0.34592,0.3227,0.30157,0.28225,0.26452,0.2482,0.23312,0.21915,0.20617
Boosting Oxygen Reduction Catalysis with Fe-N4 Sites Decorated Porous Carbons toward Fuel Cells,2020,FeSAs/N-C,1,0,0,0,0,0,0.035,3.5,,,0,,,,,,,,,,PEI/C3N4/FeCl2/,,,,,21.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,150,,,,99.11,,,,,,,,,,,,,,,,,,,,,,,100,1,,,5,0,0,,,,,,,,,,1097,0.05539,0.94,0,0.95,0.798,9,,1,12.25,1.5,0.2,0.4,Nafion 211,25,,,,100,0,80,,,0.2,750,1,760,50,0.91,0.745,0.7,0.67,0.64,0.62,0.6,0.59,0.575,0.56,0.55,0.53,0.51,0.5,0.49,0.45,0.41,0.39,0.37086,0.35328,0.3371,0.32214,0.30827,0.29539,0.28338,0.27216,0.26166,0.2518,0.24254
Critical advancements in achieving high power and stable nonprecious metal catalyst¨Cbased MEAs for real-world proton exchange membrane fuel cell applications,2018,CA#1,0,0,0,0,0,0,0.0088,0.88,0.0162,0.0712,0,,,,,,,,,,polyacrylonitrile-polymethacrylic acid copolymer/2-methylimidazole/ZnCl2,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,5780,,1000,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,1,12,25,0.5,700,1,,,,,,1085,0.913,0.086,0,,,,,0.54,50,4,0.1,,Nafion 211,25,,,,100,,75,,,0.173,750,1,1000,200,0.93,0.85,0.8,0.765,0.73,0.705,0.685,0.66,0.64,0.62,0.6,0.575,0.55,0.53,0.51,0.5,0.44031,0.43119,0.4226,0.41449,0.40683,0.39957,0.39269,0.38615,0.37994,0.37403,0.36839,0.36301,0.35787
Design of NCoordinated Dual-Metal Sites: A Stable and Active PtFree Catalyst for Acidic Oxygen Reduction Reaction,2017,"(Fe,Co)N-C",1,0,0,0,0,0.0117,0.0093,0.93,0.09069,,0,,,,,,,,,,ZIF-8/FeCl3.6H2O/Co(NO3)2.6H2O,,,,,,1.5,,,,,,,,,,,,,,,,388.13,,,,,,,396.66546,,,437.89592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,2,,,5,0,0,,,,,,,,,,,,,,1.06,0.863,,,2.355,25,0.77,0.1,0.2,home-made Aquivion/ePTFE composite membrane,,,,,100,1,80,,,0.1,850,1,700,100,0.95,0.765,0.73,0.7,0.665,0.635,0.62,0.6,0.58,0.56,0.55,0.535,0.525,0.503,0.5,0.48,0.465,0.45,0.43,0.42,0.41,0.4,0.385,0.36,0.35,0.34,0.325,0.31,0.29556
Design of NCoordinated Dual-Metal Sites: A Stable and Active PtFree Catalyst for Acidic Oxygen Reduction Reaction,2017,"(Fe,Co)N-C",1,0,0,0,0,0.0117,0.0093,0.93,0.09069,,0,,,,,,,,,,ZIF-8/FeCl3.6H2O/Co(NO3)2.6H2O,,,,,,1.5,,,,,,,,,,,,,,,,388.13,,,,,,,396.66546,,,437.89592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,2,,,5,0,0,,,,,,,,,,,,,,1.06,0.863,,,2.355,25,0.77,0.1,0.2,home-made Aquivion/ePTFE composite membrane,,,,,100,1,80,,,0.2,980,1,900,150,0.95,0.81,0.77,0.74,0.715,0.69,0.665,0.64,0.625,0.603,0.59,0.57,0.55,0.535,0.52,0.51,0.5,0.49,0.47,0.455,0.44,0.43,0.41,0.4,0.39,0.38,0.37,0.36031,0.35119
